Reaction number, formula, rate constant
1, 1H2O=>1H++1OH-, 2.599e-05
2, 1H++1OH-=>1H2O, 143000000.0
3, 1H2O2=>1H++1HO2-, 0.11193605692841689
4, 1H++1HO2-=>1H2O2, 50000000.0
5, 1H2O2+1OH-=>1HO2-+1H2O, 13000000.0
6, 1HO2-+1H2O=>1H2O2+1OH-, 58202.72954292709
7, 1eh-+1H2O=>1H+1OH-, 0.019
8, 1H+1OH-=>1eh-+1H2O, 22000.0
9, 1H=>1eh-+1H+, 3.905960400662016
10, 1eh-+1H+=>1H, 23000000.0
11, 1OH+1OH-=>1O-+1H2O, 13000000.0
12, 1O-+1H2O=>1OH+1OH-, 103500.7155542514
13, 1OH=>1O-+1H+, 0.12589254117941662
14, 1O-+1H+=>1OH, 100000000.0
15, 1HO2=>1O2-+1H+, 1345767.401963457
16, 1O2-+1H+=>1HO2, 50000000.0
17, 1HO2+1OH-=>1O2-+1H2O, 50000000.0
18, 1O2-+1H2O=>1HO2+1OH-, 0.018619585312728414
19, 1eh-+1OH=>1OH-, 30000000.0
20, 1eh-+1H2O2=>1OH+1OH-, 11000000.0
21, 1eh-+1O2-+1H2O=>1HO2-+1OH-, 13000.0
22, 1eh-+1HO2=>1HO2-, 20000000.0
23, 1eh-+1O2=>1O2-, 19000000.0
24, 2eh-+2H2O=>1H2+2OH-, 5.5
25, 1eh-+1H+1H2O=>1H2+1OH-, 25000.0
26, 1eh-+1HO2-=>1O-+1OH-, 3500000.0
27, 1eh-+1O-+1H2O=>1OH-+1OH-, 22000.0
28, 1eh-+1O3-+1H2O=>1O2+1OH-+1OH-, 16000.0
29, 1eh-+1O3=>1O3-, 36000000.0
30, 1H+1H2O=>1H2+1OH, 0.011
31, 1H+1O-=>1OH-, 10000000.0
32, 1H+1HO2-=>1OH+1OH-, 90000.0
33, 1H+1O3-=>1OH-+1O2, 10000000.0
34, 2H=>1H2, 7800000.0
35, 1H+1OH=>1H2O, 7000000.0
36, 1H+1H2O2=>1OH+1H2O, 90000.0
37, 1H+1O2=>1HO2, 21000000.0
38, 1H+1HO2=>1H2O2, 18000000.0
39, 1H+1O2-=>1HO2-, 18000000.0
40, 1H+1O3=>1HO3, 38000000.0
41, 2OH=>1H2O2, 3600000.0
42, 1OH+1HO2=>1H2O+1O2, 6000000.0
43, 1OH+1O2-=>1OH-+1O2, 8200000.0
44, 1OH+1H2=>1H+1H2O, 43000.0
45, 1OH+1H2O2=>1HO2+1H2O, 27000.0
46, 1OH+1O-=>1HO2-, 25000000.0
47, 1OH+1HO2-=>1HO2+1OH-, 7500000.0
48, 1OH+1O3-=>1O3+1OH-, 2600000.0
49, 1OH+1O3-=>2O2-+1H+, 6000000.0
50, 1OH+1O3=>1HO2+1O2, 110000.0
51, 1HO2+1O2-=>1HO2-+1O2, 80000.0
52, 1HO2+1HO2=>1H2O2+1O2, 700.0
53, 1HO2+1O-=>1O2+1OH-, 6000000.0
54, 1HO2+1H2O2=>1OH+1O2+1H2O, 0.0005
55, 1HO2+1HO2-=>1OH+1O2+1OH-, 0.0005
56, 1HO2+1O3-=>1O2+1O2+1OH-, 6000000.0
57, 1HO2+1O3=>1HO3+1O2, 500000.0
58, 2O2-+2H2O=>1H2O2+1O2+2OH-, 1.0000000000000001e-07
59, 1O2-+1O-+1H2O=>1O2+2OH-, 600.0
60, 1O2-+1H2O2=>1OH+1O2+1OH-, 0.00013000000000000002
61, 1O2-+1HO2-=>1O-+1O2+1OH-, 0.00013000000000000002
62, 1O2-+1O3-+1H2O=>1O2+1O2+2OH-, 0.01
63, 1O2-+1O3=>1O3-+1O2, 1500000.0
64, 2O-+1H2O=>1HO2-+1OH-, 1000.0
65, 1O-+1O2=>1O3-, 3600000.0
66, 1O-+1H2=>1H+1OH-, 80000.0
67, 1O-+1H2O2=>1O2-+1H2O, 500000.0
68, 1O-+1HO2-=>1O2-+1OH-, 400000.0
69, 1O-+1O3-=>1O2-+1O2-, 700000.0
70, 1O-+1O3=>1O2-+1O2, 5000000.0
71, 1O3-=>1O2+1O-, 3300.0
72, 1O3-+1H+=>1O2+1OH, 90000000.0
73, 1HO3=>1O2+1OH, 110000.0
74, 1H2O2=>1H2O+1O, 0.001
75, 2O=>1O2, 1000000.0
76, 1O3=>1O2+1O, 3e-06
77, 2O3-+1H2O=>1OH-+1HO2-+2O2, 0.01
78, 2HO3=>1H2O2+2O2, 5000000.0
79, 1O3+1OH-=>1HO2-+1O2, 0.1
80, 1O2+1O=>1O3, 4000000.0
81, 1H2O2+1O=>1OH+1HO2, 1600000.0
82, 1O+1HO2-=>1OH+1O2-, 5300000.0
83, 1O+1OH-=>1HO2-, 420000.0
