time / s,Au,Au(I)Cl2-,Au(II)Cl4^2-,Au(III)Cl4-,Au2Cl6^2-,Cl,Cl-,Cl2,Cl2-,Cl2O,Cl2O2,Cl2O3,Cl2O4,Cl3-,ClO,ClO-,ClO2,ClO2-,ClO3,ClO3-,ClOH-,H,H+,H2,H2O,H2O2,HCl,HClO,HClO2,HO2,HO2-,HO3,O,O-,O2,O2-,O3,O3-,O4,OH,OH-,eh-
0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100001,0.0,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000255,0.0,0.0,0.0,0.0,0.0,1e-07,0.0
8.405328107643794e-42,0.0,0.0,1.8656510842230084e-71,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.711508705698013e-39,0.0100001,1.4809564799686626e-39,55.56,4.0944090916780663e-39,0.0,0.0,0.0,6.9692069645584124e-40,4.474315963202891e-77,0.0,3.441485182247395e-83,3.455732191293403e-76,0.000255,1.2389501443957907e-72,0.0,0.0,0.0,3.162277660168379e-38,1e-07,3.0228935208772117e-38
1.6810656215287588e-41,0.0,0.0,5.596953252669025e-71,0.01,1.6968502405827763e-174,0.0,3.3937004811655526e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7423017411396026e-38,0.0100001,2.961912959937325e-39,55.56,8.188818183356133e-39,0.0,0.0,0.0,1.3938413929116825e-39,1.3422947889608674e-76,0.0,1.0324455546742186e-82,1.0367196573880209e-75,0.000255,3.7168504331873724e-72,5.901069675414265e-118,5.332948952106111e-111,0.0,6.324555320336758e-38,1e-07,6.045787041754423e-38
8.407009173265323e-38,0.0,3.5663589558721324e-202,9.331987282978813e-64,0.01,5.306900612421151e-156,0.0,1.0613801224842303e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.257819065462112e-247,0.0,0.0,0.0,0.0,9.700862623262188e-228,8.713251007439153e-35,0.0100001,1.4812526712646562e-35,55.56,4.095227973496402e-35,4.486524431282807e-206,2.4244630356843316e-246,0.0,6.970600805951325e-36,2.2380529790235645e-69,4.110863104200892e-171,1.7214309914047023e-75,1.7285573457569254e-68,0.000255,6.197228993952788e-65,7.37928836679826e-107,6.668853331280639e-100,0.0,3.1629101157004127e-34,1e-07,3.0234980995813867e-34
1.6812337280909116e-37,3.7357175078718814e-262,8.921248176482425e-191,3.7320484848492376e-63,0.01,9.549025619827768e-155,3.424669819010333e-256,1.9098051239655536e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3201505493964923e-306,2.6302242504041486e-235,0.0,0.0,0.0,0.0,4.8528570123591446e-216,1.7424759713137166e-34,0.0100001,2.962209151233319e-35,55.56,8.189637065174468e-35,1.1223042435316953e-194,1.2128377548315122e-234,0.0,1.393980777050974e-35,8.950421787020541e-69,8.223370553627028e-167,6.884347061812244e-75,6.912846779135288e-68,0.000255,2.4783959060178436e-64,4.426982632781099e-106,4.000778450531432e-99,0.0,6.3251877758687925e-34,1e-07,6.046391620458598e-34
2.521766538855291e-37,1.4016880782151897e-250,1.6275569893007215e-189,8.396549325623602e-63,0.01,6.099964790739267e-154,1.7131912482045412e-244,1.2199929581478534e-153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7409251155549548e-294,6.934478539183162e-234,0.0,0.0,0.0,0.0,1.279435880828723e-214,2.6136268418835178e-34,0.0100001,4.4431656312019814e-35,55.56,1.2284046156852535e-34,2.0474871672072327e-193,3.1975970798299435e-233,0.0,2.090901473506815e-35,2.013710655822041e-68,6.885305286732375e-166,1.5488748314467181e-74,1.5552868403807053e-67,0.000255,5.576019057036199e-64,1.4017696211264178e-105,1.266815381493612e-98,0.0,9.487465436037172e-34,1e-07,9.06928514133581e-34
1.0927094646499083e-36,2.8371499085844677e-246,1.8517552520873212e-186,1.5765236736563262e-61,0.01,1.5194913624569553e-150,1.2225827240185278e-240,3.0389827249139107e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.376963421802375e-290,3.5245720463275045e-230,0.0,0.0,0.0,0.0,6.502960410298585e-211,1.132513554758153e-33,0.0100001,1.9252730430888608e-34,55.56,5.3228137073633195e-34,2.329531402206921e-190,1.6252355846665629e-229,0.0,9.060108438065227e-35,3.7809133224637814e-67,9.395457535701451e-163,2.9081444586462324e-73,2.920183551716619e-66,0.000255,1.0469450850898819e-62,1.3270529084335024e-103,1.1992919600501045e-96,0.0,4.111024203772096e-33,1e-07,3.9298220350107924e-33
1.9332422754142876e-36,2.268243524268345e-244,2.583247166494831e-184,4.934732938279425e-61,0.01,1.7873600958498475e-149,2.3156428092080097e-238,3.574720191699695e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.795679366802032e-287,8.703135543792677e-228,0.0,0.0,0.0,0.0,1.6057593700125283e-208,2.0036644253279544e-33,0.0100001,3.406229523057523e-34,55.56,9.417222799041387e-34,3.249757432699852e-188,4.013152631873852e-227,0.0,1.6029315402623639e-34,1.183477154254825e-66,1.7891229657799498e-161,9.102886616395188e-73,9.140570610688569e-66,0.000255,3.277080124005192e-62,6.475842420371765e-103,5.852385914643766e-96,0.0,7.273301863940475e-33,1e-07,6.952715555888004e-33
2.773775086178667e-36,4.4534213003345814e-242,3.0714426113050433e-183,1.0158593287125531e-60,0.01,9.559997293765516e-149,5.674709377776203e-236,1.911999458753103e-148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.327160420795902e-285,1.4178514222865598e-226,0.0,0.0,0.0,0.0,2.615986152537933e-207,2.8748152958977556e-33,0.0100001,4.8871860030261856e-34,55.56,1.3511631890719454e-33,3.8639134437697947e-187,6.53793582591472e-226,0.0,2.2998522367182052e-34,2.4362945725835614e-66,1.1174468493422532e-160,1.873911395639154e-72,1.8816689860953923e-65,0.000255,6.746165307316293e-62,1.8410921069733187e-102,1.6638424493648972e-95,0.0,1.0435579524108853e-32,1e-07,9.975609076765215e-33
1.117910319382246e-35,4.9609701139834306e-238,2.6166858611101204e-180,1.6500800640785206e-59,0.01,1.6664598637679732e-145,2.3205052738031253e-232,3.3329197275359464e-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0432443585102034e-280,5.087451616224068e-223,0.0,0.0,0.0,0.0,9.38652863801908e-204,1.1586324001595768e-32,0.0100001,1.9696750802712808e-33,55.56,5.445572280750012e-33,3.291823731184664e-184,2.345903926285773e-222,0.0,9.269059201276617e-34,3.957320655348682e-65,1.1057342658583841e-157,3.043830723799617e-71,3.056431528847444e-64,0.000255,1.095792750821958e-60,1.4035443985280285e-100,1.2684192936323845e-93,0.0,4.2058356125792644e-32,1e-07,4.0204544285537327e-32
